station,dttm,lon,lat,temp,sal,fluor,moon_phase,moon_mode,tow_dist,biomass,nekt_total_num,nekt_total_vol,daynight
S258-047-NT,2015-04-20T11:05:00.000Z,-144.73,-27.215,24.3,35.46,1.11,4,risen,1769,1.6,0,0,day
S258-048-NT,2015-04-20T23:17:00.000Z,-145.31166666666667,-26.49,24.82,35.29,1.08,4,set,2097.6,4.3,14,2,night
S258-049-NT,2015-04-21T12:27:00.000Z,-145.92833333333334,-25.811666666666667,24.82,35.5,1.47,10,risen,1279.8,1.1,0,0,day
S258-050-NT,2015-04-22T00:33:00.000Z,-146.33166666666668,-24.945,25,35.4,1.11,10,set,2070.7,4.4,23,6.8,night
S258-051-NT,2015-04-22T09:24:00.000Z,-146.62,-24.286666666666665,25.8,35.58,1.05,17,set,1693.5,2.8,0,0,day
S258-052-NT,2015-04-22T23:23:00.000Z,-147.02666666666667,-23.686666666666667,26.7,35.6,1.36,17,set,2161.4,4,4,1.1,night
S258-053-NT,2015-04-23T12:44:00.000Z,-147.69166666666666,-23.78,26.7,35.57,1.13,26,set,2380.5,3,0,0,day
S258-055-NT,2015-04-29T20:20:00.000Z,-149.515,-18.333333333333332,29.04,35.76,1.11,81,risen,1153.2,9,0,0,night
S258-056-NT,2015-04-30T02:13:00.000Z,-149.695,-17.735,29.1,35.79,1.15,88,risen,2148.5,17,7,1.33,night
S258-057-NT,2015-04-30T05:47:00.000Z,-149.715,-17.453333333333333,29.1,35.78,1.23,88,set,1644.9,18,0,0,night
